GC100m;Year;Total population in cell
3613850N4489050E;2011;25
3613850N4489150E;2011;22
3613850N4489250E;2011;15-20
3613850N4489350E;2011;28
3613950N4459850E;2011;1-5
3613950N4460350E;2011;1-5
3613950N4468550E;2011;5-10
3613950N4468650E;2011;127
3613950N4468750E;2011;53
3613950N4469050E;2011;191
3613950N4469150E;2011;101
3613950N4469450E;2011;5-10
3613950N4469550E;2011;21
3613950N4469650E;2011;1-5
3613950N4469750E;2011;33
3613950N4469850E;2011;15-20
3613950N4469950E;2011;20
3613950N4470050E;2011;29
3613950N4470150E;2011;27
3613950N4470250E;2011;25
3613950N4470350E;2011;20
3613950N4483450E;2011;20
3613950N4483550E;2011;30
3613950N4483650E;2011;36
3613950N4483750E;2011;32
3613950N4483850E;2011;5-10
3613950N4483950E;2011;10-15
3613950N4484050E;2011;5-10
3613950N4488850E;2011;10-15
3613950N4488950E;2011;27
3613950N4489050E;2011;43
3613950N4489150E;2011;15-20
3613950N4489250E;2011;31
3613950N4489350E;2011;21
3614050N4460350E;2011;1-5
3614050N4460450E;2011;1-5
3614050N4468450E;2011;5-10
3614050N4468550E;2011;77
3614050N4468650E;2011;21
3614050N4468750E;2011;190
3614050N4468850E;2011;144
3614050N4468950E;2011;98
3614050N4469050E;2011;185
3614050N4469150E;2011;202
3614050N4469250E;2011;1-5
3614050N4469350E;2011;5-10
3614050N4469450E;2011;51
3614050N4469550E;2011;79
3614050N4469650E;2011;21
3614050N4469750E;2011;15-20
3614050N4469850E;2011;32
3614050N4469950E;2011;29
3614050N4470050E;2011;22
3614050N4470150E;2011;31
3614050N4470250E;2011;21
3614050N4470350E;2011;33
3614050N4470450E;2011;15-20
3614050N4471450E;2011;34
3614050N4471550E;2011;1-5
3614050N4483450E;2011;23
3614050N4483550E;2011;39
3614050N4483650E;2011;15-20
3614050N4483750E;2011;21
3614050N4483850E;2011;29
3614050N4483950E;2011;36
3614050N4484050E;2011;27
3614050N4485250E;2011;10-15
3614050N4488850E;2011;24
3614050N4488950E;2011;32
3614050N4489050E;2011;27
3614050N4489150E;2011;36
3614050N4489250E;2011;29
3614050N4489350E;2011;10-15
3614150N4459650E;2011;1-5
3614150N4460250E;2011;1-5
3614150N4460350E;2011;1-5
3614150N4467750E;2011;15-20
3614150N4468350E;2011;43
3614150N4468450E;2011;54
3614150N4468550E;2011;74
3614150N4468650E;2011;90
3614150N4468750E;2011;5-10
3614150N4468850E;2011;156
3614150N4468950E;2011;193
3614150N4469150E;2011;223
3614150N4469250E;2011;210
3614150N4469350E;2011;34
3614150N4469450E;2011;5-10
3614150N4469550E;2011;91
3614150N4469650E;2011;56
3614150N4469750E;2011;54
3614150N4469850E;2011;21
3614150N4469950E;2011;25
3614150N4470050E;2011;27
3614150N4470150E;2011;24
3614150N4470250E;2011;26
3614150N4470350E;2011;45
3614150N4470450E;2011;22
3614150N4483450E;2011;15-20
3614150N4483550E;2011;25
3614150N4483650E;2011;31
3614150N4483750E;2011;36
3614150N4483850E;2011;31
3614150N4483950E;2011;15-20
3614150N4484050E;2011;27
3614150N4484450E;2011;23
3614150N4484550E;2011;5-10
3614150N4485250E;2011;1-5
3614150N4485350E;2011;5-10
3614150N4485750E;2011;1-5
3614150N4487750E;2011;5-10
3614150N4488750E;2011;1-5
3614150N4488850E;2011;25
3614150N4488950E;2011;31
3614150N4489050E;2011;37
3614150N4489150E;2011;25
3614150N4489250E;2011;37
3614250N4458950E;2011;10-15
3614250N4459050E;2011;15-20
3614250N4460550E;2011;1-5
3614250N4467650E;2011;15-20
3614250N4467750E;2011;36
3614250N4467850E;2011;15-20
3614250N4467950E;2011;1-5
3614250N4468250E;2011;36
3614250N4468350E;2011;67
3614250N4468450E;2011;70
3614250N4468550E;2011;30
3614250N4468650E;2011;70
3614250N4468750E;2011;75
3614250N4468850E;2011;10-15
3614250N4468950E;2011;236
3614250N4469050E;2011;201
3614250N4469150E;2011;70
